계약면적(㎡),보증금(만원),월세금(만원),건축년도,계약기간,도로조건_-,도로조건_12m미만,도로조건_25m미만,도로조건_25m이상,도로조건_8m미만
27.0,2000,50,2018.0,12.0,0,0,0,0,1
29.04,300,45,2019.0,12.0,0,0,0,0,1
36.0,2000,55,1995.0,24.0,0,1,0,0,0
20.21,500,50,2017.0,12.0,0,1,0,0,0
30.0,300,37,2018.0,12.0,0,0,0,0,1
16.0,300,35,2014.0,13.0,0,1,0,0,0
35.0,500,45,1996.0,24.0,0,1,0,0,0
50.0,200,35,2002.0,12.0,0,0,0,0,1
20.0,300,38,2001.0,24.0,0,1,0,0,0
25.0,300,34,2002.0,11.0,0,0,0,0,1
42.0,300,30,1984.0,24.0,0,0,0,0,1
20.0,100,30,2002.0,12.0,0,0,1,0,0
22.0,300,30,1997.0,12.0,0,1,0,0,0
18.0,200,28,1978.0,12.0,0,1,0,0,0
18.0,3000,45,1998.0,24.0,0,1,0,0,0
20.0,200,45,2002.0,12.0,0,0,0,0,1
37.44,2000,15,2002.0,24.0,0,0,0,0,1
25.0,300,52,2002.0,12.0,0,0,0,0,1
20.0,300,45,2014.0,12.0,0,0,0,0,1
49.6,3000,15,1994.0,48.0,0,1,0,0,0
36.3,300,45,2002.0,12.0,0,0,0,0,1
30.0,400,35,2002.0,12.0,0,0,0,0,1
23.56,2000,25,1997.0,24.0,0,0,0,0,1
26.0,200,28,1997.0,12.0,0,0,0,0,1
26.0,200,30,2009.0,12.0,0,0,0,0,1
59.67,1000,60,1976.0,24.0,0,1,0,0,0
30.0,200,50,2004.0,13.0,0,0,0,0,1
17.0,200,30,2019.0,12.0,0,1,0,0,0
23.1,300,30,2002.0,12.0,0,0,0,0,1
38.2,1000,29,2002.0,24.0,0,0,0,0,1
53.25,500,55,1978.0,24.0,0,0,0,0,1
50.0,1000,55,2017.0,12.0,0,1,0,0,0
28.0,300,41,2018.0,12.0,0,0,0,0,1
42.9,1000,50,2002.0,24.0,0,0,0,0,1
35.0,100,30,1992.0,24.0,0,1,0,0,0
55.66,500,60,2015.0,12.0,0,0,0,0,1
37.2,400,30,1996.0,23.0,0,0,0,0,1
38.47,500,35,1980.0,24.0,0,1,0,0,0
51.0,500,55,2011.0,12.0,0,0,0,0,1
28.7,200,45,2019.0,6.0,0,0,0,0,1
25.0,100,28,2001.0,12.0,0,0,0,0,1
30.0,300,33,2014.0,12.0,0,0,0,0,1
49.0,500,45,1983.0,24.0,0,1,0,0,0
20.0,200,30,2002.0,24.0,0,0,0,0,1
20.0,500,43,2019.0,12.0,0,0,0,0,1
24.0,5000,20,2000.0,24.0,0,0,0,0,1
57.22,5000,40,2002.0,24.0,0,0,0,0,1
33.0,400,35,2002.0,11.0,0,0,0,0,1
30.09,500,43,2002.0,12.0,0,0,0,0,1
44.29,600,25,1977.0,24.0,0,0,0,0,1
20.0,200,30,2003.0,10.0,0,1,0,0,0
23.0,100,30,2002.0,12.0,0,0,0,0,1
23.1,300,45,2001.0,11.0,0,1,0,0,0
24.0,150,20,1986.0,12.0,0,0,0,0,1
16.5,200,30,1980.0,10.0,0,1,0,0,0
29.0,500,45,2017.0,12.0,0,0,0,0,1
18.0,300,40,2021.0,12.0,0,1,0,0,0
55.0,1000,55,1977.0,12.0,0,0,0,0,1
49.5,1000,70,2019.0,24.0,0,0,0,0,1
18.0,300,35,1997.0,12.0,0,1,0,0,0
21.0,150,45,1987.0,12.0,0,0,0,0,1
16.0,300,37,2015.0,12.0,0,0,0,0,1
26.7,300,45,2019.0,6.0,0,0,0,0,1
27.96,300,36,2019.0,5.0,0,0,0,0,1
19.0,200,38,2014.0,10.0,0,0,0,0,1
18.6,200,35,1992.0,12.0,0,1,0,0,0
23.0,300,40,2002.0,12.0,0,0,1,0,0
20.0,300,35,2009.0,24.0,0,0,0,0,1
25.0,300,50,1999.0,11.0,0,1,0,0,0
35.0,1000,55,2017.0,12.0,0,0,0,0,1
25.0,500,42,2003.0,11.0,0,0,0,0,1
20.0,300,42,2003.0,10.0,0,1,0,0,0
18.11,300,45,1994.0,12.0,0,1,0,0,0
23.0,300,47,1999.0,3.0,0,1,0,0,0
32.2,500,48,2018.0,12.0,0,0,0,0,1
17.0,200,36,1997.0,4.0,0,0,0,0,1
21.0,300,36,2013.0,12.0,0,1,0,0,0
33.0,300,42,1996.0,12.0,0,0,0,0,1
29.7,200,43,1993.0,12.0,0,0,0,0,1
43.0,6000,25,2016.0,24.0,0,1,0,0,0
20.0,300,50,2002.0,12.0,0,1,0,0,0
20.0,300,37,2002.0,12.0,0,1,0,0,0
20.0,300,37,2002.0,12.0,0,1,0,0,0
20.0,300,40,1997.0,12.0,0,1,0,0,0
16.0,300,55,2017.0,12.0,0,0,0,0,1
25.0,300,35,2002.0,12.0,0,0,1,0,0
20.0,500,50,2017.0,12.0,0,1,0,0,0
24.0,500,64,1977.0,12.0,0,0,0,0,1
33.0,1000,57,2018.0,12.0,0,0,0,0,1
20.0,300,43,2012.0,12.0,0,1,0,0,0
25.0,300,35,2002.0,12.0,0,0,1,0,0
34.0,300,30,1993.0,24.0,0,0,0,0,1
17.0,168,30,2001.0,11.0,0,1,0,0,0
21.45,300,45,1993.0,12.0,0,0,0,0,1
25.0,300,47,2017.0,24.0,0,0,0,0,1
37.5,500,60,1994.0,12.0,0,1,0,0,0
30.0,200,40,2002.0,5.0,0,0,0,0,1
20.0,300,37,2002.0,12.0,0,1,0,0,0
30.0,200,37,2001.0,12.0,0,0,0,0,1
25.0,500,44,2003.0,11.0,0,0,0,0,1
33.0,300,52,1996.0,11.0,0,1,0,0,0
18.0,100,25,1987.0,6.0,0,1,0,0,0
28.49,1000,34,2002.0,11.0,0,0,1,0,0
55.0,500,60,1998.0,24.0,0,1,0,0,0
19.0,300,40,1993.0,12.0,0,0,0,0,1
13.0,100,26,1996.0,12.0,0,1,0,0,0
40.0,300,60,1991.0,12.0,0,1,0,0,0
19.0,300,45,2002.0,6.0,0,0,0,0,1
27.83,300,50,2016.0,6.0,0,0,0,0,1
18.0,300,55,2018.0,12.0,0,1,0,0,0
24.0,200,40,2002.0,12.0,0,0,0,0,1
17.0,3500,23,2018.0,24.0,0,0,0,0,1
31.6,200,45,2011.0,24.0,0,0,0,0,1
45.0,1000,40,1987.0,24.0,0,1,0,0,0
22.0,500,44,2002.0,18.0,0,1,0,0,0
47.88,500,60,2016.0,12.0,0,1,0,0,0
28.0,500,40,2018.0,12.0,0,0,0,0,1
17.0,300,43,2015.0,12.0,0,0,0,0,1
20.0,300,40,2014.0,12.0,0,0,0,0,1
16.5,300,40,2020.0,6.0,0,1,0,0,0
50.0,3000,45,2019.0,23.0,0,0,0,0,1
36.3,500,35,1994.0,24.0,0,0,0,0,1
50.0,1000,35,1995.0,24.0,0,0,0,0,1
20.0,300,45,2015.0,12.0,0,0,0,0,1
30.0,300,30,1992.0,12.0,0,0,0,1,0
19.0,150,34,1998.0,12.0,0,1,0,0,0
40.0,500,70,2019.0,11.0,0,0,0,0,1
15.0,300,37,2014.0,12.0,0,0,0,0,1
23.0,300,30,2002.0,24.0,0,0,1,0,0
17.0,200,26,2001.0,12.0,0,1,0,0,0
16.22,300,41,2012.0,12.0,0,1,0,0,0
20.0,200,40,2002.0,12.0,0,0,0,0,1
23.0,300,35,1992.0,12.0,0,0,1,0,0
26.44,100,40,2002.0,12.0,0,0,0,0,1
20.0,500,35,2018.0,12.0,0,1,0,0,0
18.0,200,35,1990.0,6.0,0,0,0,1,0
20.0,300,30,2002.0,12.0,0,0,0,0,1
18.0,300,47,2016.0,12.0,0,0,0,0,1
39.66,500,38,1969.0,24.0,0,0,0,0,1
20.0,200,30,1998.0,12.0,0,0,0,0,1
47.46,1000,50,2002.0,23.0,0,1,0,0,0
