NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
72,인천광역시 미추홀구 용현동,1**,12m미만,20.0,월세,202602,17,300,35,1996.0,경인남길,202602~202702,신규,-,,,단독다가구
73,인천광역시 미추홀구 용현동,4*,8m미만,20.0,월세,202602,16,300,39,,재넘이길,202603~202612,신규,-,,,단독다가구
74,인천광역시 미추홀구 용현동,6**,8m미만,20.0,월세,202602,14,500,45,2019.0,토금중로47번길,202602~202702,신규,-,,,단독다가구
75,인천광역시 미추홀구 용현동,8*,8m미만,28.0,월세,202602,14,500,50,1996.0,재넘이길,202602~202702,신규,-,,,단독다가구
76,인천광역시 미추홀구 용현동,8*,8m미만,20.0,월세,202602,14,300,30,2002.0,인하로134번길,-,-,-,,,단독다가구
77,인천광역시 미추홀구 용현동,6**,25m미만,21.68,전세,202602,14,"9,300",0,,용정공원로83번길,202603~202803,신규,-,,,단독다가구
78,인천광역시 미추홀구 용현동,8*,12m미만,20.0,월세,202602,13,300,38,1997.0,한나루로477번길,202602~202702,신규,-,,,단독다가구
79,인천광역시 미추홀구 용현동,1**,12m미만,17.0,월세,202602,13,300,38,,경인남길,202602~202701,신규,-,,,단독다가구
80,인천광역시 미추홀구 용현동,6**,8m미만,26.4,월세,202602,13,500,47,2019.0,토금중로47번길,202603~202703,신규,-,,,단독다가구
81,인천광역시 미추홀구 용현동,1**,12m미만,24.0,월세,202602,13,300,47,2000.0,인주대로224번길,202602~202702,신규,-,,,단독다가구
82,인천광역시 미추홀구 용현동,6**,8m미만,27.9,월세,202602,12,500,50,2016.0,낙섬서로18번길,202602~202802,신규,-,,,단독다가구
83,인천광역시 미추홀구 용현동,1**,12m미만,17.0,월세,202602,12,300,38,,경인남길,202602~202701,신규,-,,,단독다가구
84,인천광역시 미추홀구 용현동,2*,12m미만,21.6,월세,202602,12,500,43,2001.0,한나루로477번길,202602~202702,신규,-,,,단독다가구
85,인천광역시 미추홀구 용현동,7*,8m미만,18.0,월세,202602,12,300,36,,인하로119번길,202602~202702,신규,-,,,단독다가구
86,인천광역시 미추홀구 용현동,1**,8m미만,16.0,월세,202602,11,100,35,1977.0,재넘이길,-,-,-,,,단독다가구
87,인천광역시 미추홀구 용현동,1**,8m미만,16.0,월세,202602,11,100,30,1977.0,재넘이길,202602~202702,신규,-,,,단독다가구
88,인천광역시 미추홀구 용현동,2*,12m미만,48.6,월세,202602,11,500,54,1994.0,한나루로477번길,202602~202801,신규,-,,,단독다가구
89,인천광역시 미추홀구 용현동,1**,12m미만,16.0,월세,202602,10,100,42,2016.0,인하로47번길,202602~202707,신규,-,,,단독다가구
90,인천광역시 미추홀구 용현동,7*,8m미만,16.0,월세,202602,10,200,32,2001.0,인하로91번길,202602~202702,신규,-,,,단독다가구
91,인천광역시 미추홀구 용현동,5*,12m미만,18.0,월세,202602,9,200,25,2010.0,한나루로477번길,202602~202702,신규,-,,,단독다가구
92,인천광역시 미추홀구 용현동,9*,8m미만,20.0,월세,202602,7,300,30,1974.0,경인남길102번길,202602~202702,신규,-,,,단독다가구
93,인천광역시 미추홀구 용현동,6**,8m미만,32.2,월세,202602,7,500,47,2018.0,토금남로27번길,202602~202702,신규,-,,,단독다가구
94,인천광역시 미추홀구 용현동,1**,12m미만,20.0,월세,202602,7,300,40,1977.0,인하로47번길,202602~202702,신규,-,,,단독다가구
95,인천광역시 미추홀구 용현동,1**,12m미만,19.8,월세,202602,7,300,45,2002.0,인하로47번길,202602~202702,신규,-,,,단독다가구
96,인천광역시 미추홀구 용현동,7*,8m미만,18.0,월세,202602,6,300,36,2018.0,인하로119번길,202602~202702,신규,-,,,단독다가구
97,인천광역시 미추홀구 용현동,1**,25m이상,27.0,월세,202602,6,300,55,1997.0,인하로,202602~202702,신규,-,,,단독다가구
98,인천광역시 미추홀구 용현동,3*,12m미만,18.0,월세,202602,6,300,38,1997.0,인하로163번길,202602~202702,신규,-,,,단독다가구
99,인천광역시 미추홀구 용현동,4*,8m미만,20.0,월세,202602,6,300,38,2014.0,재넘이길,202602~202702,신규,-,,,단독다가구
100,인천광역시 미추홀구 용현동,1**,8m미만,19.0,월세,202602,6,300,33,1994.0,경인남길30번길,202602~202701,신규,-,,,단독다가구
101,인천광역시 미추홀구 용현동,8*,8m미만,19.83,월세,202602,5,300,40,1996.0,한나루로463번길,202602~202702,신규,-,,,단독다가구
102,인천광역시 미추홀구 용현동,8*,8m미만,20.0,월세,202602,5,300,35,1990.0,인하로120번길,202602~202702,신규,-,,,단독다가구
103,인천광역시 미추홀구 용현동,6**,12m미만,45.36,월세,202602,4,500,60,1979.0,토금북로27번길,202602~202702,신규,-,,,단독다가구
104,인천광역시 미추홀구 용현동,6**,8m미만,49.0,전세,202602,4,"5,000",0,2001.0,낙섬중로46번길,-,-,-,,,단독다가구
105,인천광역시 미추홀구 용현동,9*,8m미만,15.0,월세,202602,4,100,37,1996.0,경인남길118번길,202602~202702,신규,-,,,단독다가구
